"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.00054363067263985,-19742.6454234843,270965333.075843
0.05,-14.5852552304793,-128.479920391337,1293.58490917774
0.1,-20.0168243507076,-96.3860491947076,309.15220115677
0.15,-24.5492933777188,-86.1685915502297,127.640813052629
0.2,-28.7245094009691,-81.5035240112541,73.4799130303245
0.25,-32.7059356910728,-78.4629587806698,47.4987280075993
0.3,-36.5773076204257,-76.3240546729226,30.7474208138792
0.35,-40.3589775688563,-74.7730898722732,20.7877822585833
0.4,-44.0865417235162,-74.0939032041873,17.1695289098016
0.45,-47.7704204008854,-73.5152182766366,14.5189555574889
0.5,-51.4126200636008,-72.6600686955473,10.2439282659907
0.55,-55.0430598026296,-72.2327882650019,8.89500516657063
0.6,-58.6407124337094,-71.8230882941239,7.58738952497242
0.65,-62.2193594302291,-71.4615675914502,6.53509520823809
0.7,-65.7866949141951,-71.2252845279635,5.64102904164156
0.75,-69.3436045309846,-70.8737913848786,4.41044947854152
0.8,-72.8786178158399,-70.6958003594534,4.04675885382494
0.85,-76.4100001596156,-70.6679870354101,4.13198378996549
0.9,-79.9270692870361,-70.3080245732161,3.30075820951424
0.95,-83.4383809671105,-70.115874017846,2.78089073511001
1,-86.9439587411494,-69.9464816227603,2.5237156273497
